Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
4;SIMPSON. LA PELICULA, LOS;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;18449931,94;2007;7,72;6,9;2,38
6;HARRY POTTER Y EL PRISIONERO DE AZKABAN;REINO UNIDO;WARNER SOGEFILMS A.I.E.;16298400,46;2004;8,11;7,7;2,32
7;SPIDER-MAN 2;ESTADOS UNIDOS;COLUMBIA TRI-STAR FILMS DE ESPAÑA S.A,;15591345,96;2004;7,76;6,7;2,28
7;ICE AGE 4: LA FORMACION DE LOS CONTINENTES;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;15165086,9;2012;6,72;6,2;2,25
9;DIA DE MAÑANA, EL;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;14501959,4;2004;7,21;6,2;2,04
6;MARVEL LOS VENGADORES;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;16207817,23;2012;7,18;7,4;1,97
2;HANCOCK;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;16254539,31;2008;6,69;6,2;1,87
6;HARRY POTTER Y LA ORDEN DEL FENIX;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;17227618,44;2007;7,21;7,4;1,86
7;2012;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;14408233,69;2009;6,18;5,6;1,82
5;ORIGEN;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;16933578,89;2010;7,3;8,1;1,79
7;OCEAN'S ELEVEN;ESTADOS UNIDOS;WARNER SOGEFILMS A.I.E.;14024993,42;2002;7,75;7,2;1,79
6;ANGELES Y DEMONIOS (ANGELS AND DEMONS);ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;15605231,61;2009;6,7;6,5;1,78
3;SEÑOR DE LOS ANILLOS: LA COMUNIDAD DEL ANILLO, EL;NUEVA ZELANDA;AURUM PRODUCCIONES S.A.;17110536,74;2002;9,45;8,1;1,78
9;PITUFOS, LOS;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;13519327,1;2011;5,9;5,5;1,77
8;YO, ROBOT;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;14554622,29;2004;7,24;6,7;1,76
4;ALATRISTE;ESPAÑA;HISPANO FOXFILM S.A.E;16489511,68;2006;7,26;5,6;1,74
8;BRAVE (INDOMABLE);ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;14716212,62;2012;6,52;6,7;1,74
5;HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE 2ª PARTE;REINO UNIDO;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;15893965,53;2011;6,94;7,9;1,64
2;NIÑO, EL;ESPAÑA;HISPANO FOX FILM S.A.;15902862,88;2014;6,98;6,5;1,61
