Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
25;LADRONA DE LIBROS, LA;ESTADOS UNIDOS;HISPANO FOX FILM S.A.;5224972,76;2014;2,29;7,4;-2,74
24;LEGO PELICULA, LA;ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;5278448,23;2014;2,32;7,5;-2,77
21;NO ES PAIS PARA VIEJOS;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;7240419,16;2008;2,98;7,8;-2,82
24;PLAN OCULTO;ESTADOS UNIDOS;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;6358418,46;2006;2,8;7,3;-2,87
22;OJOS DE JULIA, LOS;ESPAÑA;UNIVERSAL PICTURES INTERNATIONAL SPAIN S.L.;6867364,82;2010;2,96;6,7;-2,89
19;VICKY CRISTINA BARCELONA;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;7459286,88;2008;3,07;6,7;-2,95
25;DESCUBRIENDO A LOS ROBINSONS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;5264741,83;2007;2,2;6,7;-3,02
22;EN BUSCA DE LA FELICIDAD;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;6689943,26;2007;2,8;7,7;-3,03
20;ISLA MINIMA, LA;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;6126720,43;2014;2,69;7,1;-3,05
16;REC;ESPAÑA;SOCIEDAD GENERAL DE DERECHOS AUDIOVISUALES S.A.;7748900,61;2007;3,24;7,1;-3,12
24;CHE, EL ARGENTINO;ESPAÑA;HISPANO FOX FILM S.A.;6830886,78;2008;2,81;6,8;-3,28
25;HOBBIT: UN VIAJE INESPERADO, EL;NUEVA ZELANDA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;5745931,38;2013;2,55;7;-3,47
23;EL PERFUME, HISTORIA DE UN ASESINO;ESPAÑA;SOC. GRAL. DE DERECHOS AUDIOVISUALES S.A.;6499507,51;2006;2,86;7,1;-3,59
14;LABERINTO DEL FAUNO, EL;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;7156755,31;2006;3,15;7,6;-3,6
25;PRINCESAS;ESPAÑA;WARNER SOGEFILMS A.I.E.;5983768,7866;2005;2,81;6,9;-3,6
